chapter,word,frequency
1,good,18
1,gandalf,12
1,morning,9
1,time,8
1,never,8
1,long,8
1,burglar,8
1,father,8
1,baggins,7
1,remember,7
1,dragon,7
1,map,7
1,bilbo,6
1,door,6
1,dwarves,6
1,grandfather,6
1,mountain,6
1,things,5
1,fellow,5
1,service,5
1,east,5
1,hear,5
1,lot,4
1,dragons,4
1,man,4
1,great,4
1,pardon,4
1,idea,4
1,business,4
1,asked,4
1,mind,4
1,house,4
1,wrong,4
1,key,4
1,sit,3
1,day,3
1,adventures,3
1,till,3
1,dear,3
1,sir,3
1,son,3
1,luck,3
1,quite,3
1,parts,3
1,tea,3
1,balin,3
1,lots,3
1,thorin,3
1,bring,3
1,suppose,3
2,yer,13
2,never,7
2,time,7
2,good,6
2,cook,6
2,none,4
2,mutton,4
2,shut,4
2,lots,4
2,yerself,4
2,sit,4
2,light,3
2,parts,3
2,trolls,3
2,night,3
2,yellow,3
2,fool,2
2,bilbo,2
2,baggins,2
2,nonsense,2
2,fellow,2
2,dusted,2
2,fourteen,2
2,hat,2
2,precise,2
2,things,2
2,dry,2
2,sleep,2
2,mountains,2
2,seldom,2
2,road,2
2,round,2
2,trouble,2
2,burglar,2
2,perfectly,2
2,quick,2
2,blimey,2
2,bit,2
2,long,2
2,william,2
2,mouth,2
2,bert,2
2,fat,2
2,burrahobbit,2
2,poor,2
2,blighter,2
2,till,2
2,tom,2
2,water,2
2,booby,2
3,moon,6
3,day,6
3,durin,5
3,mountains,4
3,elves,3
3,good,3
3,gondolin,3
3,dwarves,3
3,mountain,2
3,misty,2
3,path,2
3,valley,2
3,house,2
3,friends,2
3,straight,2
3,father,2
3,long,2
3,hush,2
3,night,2
3,swords,2
3,high,2
3,goblin,2
3,goblins,2
3,ago,2
3,runes,2
3,trolls,2
3,guess,2
3,written,2
3,sun,2
3,autumn,2
3,wilderland,1
3,deal,1
3,lonely,1
3,east,1
3,smaug,1
3,lies,1
3,treasure,1
3,road,1
3,food,1
3,thing,1
3,rest,1
3,reasonable,1
3,tackle,1
3,proper,1
3,lost,1
3,start,1
3,edge,1
3,wild,1
3,hidden,1
3,ahead,1
4,thorin,4
4,cave,3
4,struck,2
4,lightning,2
4,ponies,2
4,goblins,2
4,mountains,2
4,good,2
4,quicker,2
4,summer,1
4,haymaking,1
4,picnics,1
4,harvesting,1
4,blackberrying,1
4,rate,1
4,durin,1
4,day,1
4,blown,1
4,drowned,1
4,picked,1
4,giant,1
4,kicked,1
4,football,1
4,dry,1
4,round,1
4,corner,1
4,inside,1
4,explored,1
4,big,1
4,miserable,1
4,persons,1
4,dwarves,1
4,sheltering,1
4,porch,1
4,dwarf,1
4,service,1
4,things,1
4,suspect,1
4,imagine,1
4,idea,1
4,sheltered,1
4,storm,1
4,convenient,1
4,unused,1
4,thoughts,1
4,inconveniencing,1
4,urn,1
4,coming,1
4,fact,1
4,willdo,1
5,precious,18
5,gollum,13
5,lost,10
5,pocketses,8
5,guess,7
5,nassty,7
5,curse,7
5,goblinses,6
5,preciouss,5
5,baggins,5
5,time,5
5,preciousss,4
5,haste,4
5,fish,4
5,fair,4
5,never,4
5,door,4
5,goblins,3
5,good,3
5,answer,3
5,sss,3
5,chance,3
5,wrong,3
5,promise,3
5,wait,3
5,things,3
5,guessed,3
5,left,3
5,thief,3
5,hates,3
5,blade,2
5,thing,2
5,underground,2
5,iss,2
5,handses,2
5,sword,2
5,praps,2
5,easy,2
5,asks,2
5,eh,2
5,chestnuts,2
5,teeth,2
5,half,2
5,moment,2
5,wind,2
5,creature,2
5,eye,2
5,eggses,2
5,table,2
5,quesstion,2
6,goblins,8
6,dark,4
6,time,4
